r3000,r5000,noxevent,r2000,coevent,system_time,gps_time,latitude,longitude
12,23,3,27,218,2018-03-06 14:26:00.909184,14:26:03.010000,52.56515266666667,13.409577833333334
12,23,3,27,218,2018-03-06 14:26:01.927314,14:26:04,52.56515183333333,13.409575
12,23,3,27,218,2018-03-06 14:26:02.946002,14:26:05,52.565148666666666,13.409572
12,23,3,27,218,2018-03-06 14:26:03.962071,14:26:06,52.56514633333333,13.4095695
12,23,3,27,218,2018-03-06 14:26:04.979431,14:26:07,52.565145,13.409567666666666
12,23,3,27,218,2018-03-06 14:26:05.997841,14:26:08,52.565143,13.409566166666666
12,23,3,27,218,2018-03-06 14:26:07.013078,14:26:09,52.56514133333334,13.4095635
12,23,3,27,218,2018-03-06 14:26:08.028591,14:26:07,52.565138,13.409561833333333
12,23,3,27,218,2018-03-06 14:26:09.043691,14:26:08,52.5651365,13.409561333333333
12,23,3,27,218,2018-03-06 14:26:10.059867,14:26:09,52.565135166666664,13.4095615
12,23,3,27,218,2018-03-06 14:26:11.077723,14:26:10,52.56513416666667,13.409561833333333
12,23,3,27,218,2018-03-06 14:26:12.096493,14:26:11,52.5651335,13.409562333333334
12,23,3,27,218,2018-03-06 14:26:13.113390,14:26:12,52.565133,13.409562333333334
12,23,3,27,218,2018-03-06 14:26:14.134204,14:26:13,52.56513283333334,13.409562166666667
12,23,3,27,218,2018-03-06 14:26:15.153615,14:26:14,52.565132166666665,13.409561833333333
12,23,3,27,218,2018-03-06 14:26:16.167798,14:26:15,52.5651305,13.409561166666666
12,23,3,27,218,2018-03-06 14:26:17.181854,14:26:16,52.565129666666664,13.409561
12,23,3,27,218,2018-03-06 14:26:18.197548,14:26:17,52.565129166666665,13.409561166666666
12,23,3,27,218,2018-03-06 14:26:19.212819,14:26:18,52.56512816666667,13.409561
12,23,3,27,218,2018-03-06 14:26:20.228088,14:26:19,52.565126166666666,13.4095595
12,23,3,27,218,2018-03-06 14:26:21.246984,14:26:20,52.5651245,13.409558166666667
12,23,3,27,218,2018-03-06 14:26:22.263241,14:26:21,52.56512166666667,13.409555833333334
12,23,3,27,218,2018-03-06 14:26:23.276629,14:26:22,52.565117666666666,13.4095525
12,23,3,27,218,2018-03-06 14:26:24.293674,14:26:23,52.56511316666667,13.409548333333333
12,23,3,27,218,2018-03-06 14:26:25.312986,14:26:24,52.5651075,13.409543
12,23,3,27,218,2018-03-06 14:26:26.328940,14:26:25,52.56510166666666,13.409537833333333
12,23,3,27,218,2018-03-06 14:26:27.343088,14:26:27,52.56509066666667,13.4095285
12,23,3,27,218,2018-03-06 14:26:28.357236,14:26:28,52.5650855,13.409524166666667
15,27,181,28,3,2018-03-06 14:26:32.468370,14:26:32,52.565067166666665,13.409508333333333
15,27,181,28,3,2018-03-06 14:26:33.536915,14:26:33,52.56506366666667,13.409505333333334
15,27,181,28,3,2018-03-06 14:26:34.585263,14:26:34,52.5650595,13.409502333333334
15,27,181,28,3,2018-03-06 14:26:35.637094,14:26:35,52.565056,13.4094995
15,27,181,28,3,2018-03-06 14:26:36.656840,14:26:36,52.56505283333333,13.409496833333334
15,27,181,28,3,2018-03-06 14:26:37.687375,14:26:37,52.56504966666667,13.409494
15,27,181,28,3,2018-03-06 14:26:38.718393,14:26:38,52.565046833333334,13.4094915
15,27,181,28,3,2018-03-06 14:26:39.732702,14:26:39,52.565044,13.409489166666667
15,27,181,28,3,2018-03-06 14:26:40.848676,14:26:40,52.565040833333335,13.4094865
15,27,181,28,3,2018-03-06 14:26:41.958850,14:26:41,52.565038,13.409484166666667
15,27,181,28,3,2018-03-06 14:26:43.008912,14:26:42,52.565035333333334,13.409482
15,27,181,28,3,2018-03-06 14:26:44.092842,14:26:43,52.565033,13.40948
15,27,181,28,3,2018-03-06 14:26:45.135922,14:26:44,52.565031166666664,13.4094785
15,27,181,28,3,2018-03-06 14:26:46.168269,14:26:46,52.5650315,13.409481333333334
15,27,181,28,3,2018-03-06 14:26:47.234173,14:26:47,52.565028833333336,13.4094805
15,27,181,28,3,2018-03-06 14:26:48.269875,14:26:48,52.56502666666667,13.409480666666667
15,27,181,28,3,2018-03-06 14:26:49.302093,14:26:49,52.5650285,13.409479666666666
15,27,181,28,3,2018-03-06 14:26:50.333724,14:26:50,52.56502733333333,13.4094775
15,27,181,28,3,2018-03-06 14:26:51.349280,14:26:51,52.56502583333334,13.409475166666667
15,27,181,28,3,2018-03-06 14:26:52.369285,14:26:52,52.5650245,13.409474166666667
15,27,181,28,3,2018-03-06 14:26:53.406143,14:26:53,52.565023,13.409473
15,27,181,28,3,2018-03-06 14:26:54.497595,14:26:54,52.565024333333334,13.409472333333333
15,27,181,28,3,2018-03-06 14:26:55.545883,14:26:55,52.56502566666666,13.4094715
15,27,181,28,3,2018-03-06 14:26:56.583138,14:26:56,52.565026333333336,13.4094715
15,27,181,28,3,2018-03-06 14:26:57.612782,14:26:57,52.565027666666666,13.409472333333333
15,27,181,28,3,2018-03-06 14:26:58.667107,14:26:58,52.5650285,13.409473666666667
